Language,Parent,Child1,Child2,Level,Classes
Caucasian,SinoCaucasian,0,0,5,Caucasian SinoCaucasian MacroSinoCaucasian DeneCaucasian EastBorean Borean FourDRD4 Mothertongue     
Chadic,BerberChadic,0,0,5,Chadic BerberChadic BerberSemitic Afroasiatic Nostratic Borean FourDRD4 Mothertongue     
Dravidian,MacroPaleoAltaic,0,0,5,Dravidian MacroPaleoAltaic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue     
Greek,Centum,0,0,5,Greek Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue     
MacroIndoIranian,Satem,IndoIranian,Armenian,5,MacroIndoIranian Satem IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue     
MacroSlavic,Satem,BaltoSlavic,Albanian,5,MacroSlavic Satem IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue     
Mayan,MacroMayan,0,0,5,Mayan MacroMayan AztecMayan MesoAmerican NorthAmerican American SevenDRD4 Mothertongue     
OtoManguean,MacroMayan,0,0,5,OtoManguean MacroMayan AztecMayan MesoAmerican NorthAmerican American SevenDRD4 Mothertongue     
PaleoAltaic,MacroPaleoAltaic,Altaic,MacroPaleoSiberian,5,PaleoAltaic MacroPaleoAltaic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue     
SinoTibetan,SinoCaucasian,Sinic,TibetoBurman,5,SinoTibetan SinoCaucasian MacroSinoCaucasian DeneCaucasian EastBorean Borean FourDRD4 Mothertongue     
WestEuropean,Centum,Romance,NWEuropean,5,WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue     
Albanian,MacroSlavic,0,0,6,Albanian MacroSlavic Satem IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue    
Altaic,PaleoAltaic,PaleoMongolic,KoreJaponic,6,Altaic PaleoAltaic MacroPaleoAltaic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue    
Armenian,MacroIndoIranian,0,0,6,Armenian MacroIndoIranian Satem IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue    
BaltoSlavic,MacroSlavic,Slavic,Baltic,6,BaltoSlavic MacroSlavic Satem IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue    
IndoIranian,MacroIndoIranian,Iranian,IndoAryan,6,IndoIranian MacroIndoIranian Satem IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue    
MacroPaleoSiberian,PaleoAltaic,PaleoSiberian,Aleutian,6,MacroPaleoSiberian PaleoAltaic MacroPaleoAltaic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue    
NWEuropean,WestEuropean,Celtic,Germanic,6,NWEuropean WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue    
Romance,WestEuropean,CentralRoman,Romanian,6,Romance WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue    
Sinic,SinoTibetan,0,0,6,Sinic SinoTibetan SinoCaucasian MacroSinoCaucasian DeneCaucasian EastBorean Borean FourDRD4 Mothertongue    
TibetoBurman,SinoTibetan,0,0,6,TibetoBurman SinoTibetan SinoCaucasian MacroSinoCaucasian DeneCaucasian EastBorean Borean FourDRD4 Mothertongue    
Aleutian,MacroPaleoSiberian,0,0,7,Aleutian MacroPaleoSiberian PaleoAltaic MacroPaleoAltaic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue   
Baltic,BaltoSlavic,0,0,7,Baltic BaltoSlavic MacroSlavic Satem IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue   
Celtic,NWEuropean,0,0,7,Celtic NWEuropean WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue   
CentralRoman,Romance,Italian,WestRoman,7,CentralRoman Romance WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue   
Germanic,NWEuropean,WestGermanic,Scandinavian,7,Germanic NWEuropean WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue   
IndoAryan,IndoIranian,0,0,7,IndoAryan IndoIranian MacroIndoIranian Satem IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue   
Iranian,IndoIranian,0,0,7,Iranian IndoIranian MacroIndoIranian Satem IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue   
KoreJaponic,Altaic,Korean,Japonic,7,KoreJaponic Altaic PaleoAltaic MacroPaleoAltaic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue   
PaleoMongolic,Altaic,TurkoMongolic,Tungusic,7,PaleoMongolic Altaic PaleoAltaic MacroPaleoAltaic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue   
PaleoSiberian,MacroPaleoSiberian,0,0,7,PaleoSiberian MacroPaleoSiberian PaleoAltaic MacroPaleoAltaic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue   
Romanian,Romance,0,0,7,Romanian Romance WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue   
Slavic,BaltoSlavic,0,0,7,Slavic BaltoSlavic MacroSlavic Satem IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue   
Italian,CentralRoman,0,0,8,Italian CentralRoman Romance WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue  
Japonic,KoreJaponic,0,0,8,Japonic KoreJaponic Altaic PaleoAltaic MacroPaleoAltaic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue  
Korean,KoreJaponic,0,0,8,Korean KoreJaponic Altaic PaleoAltaic MacroPaleoAltaic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue  
Scandinavian,Germanic,0,0,8,Scandinavian Germanic NWEuropean WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue  
Tungusic,PaleoMongolic,0,0,8,Tungusic PaleoMongolic Altaic PaleoAltaic MacroPaleoAltaic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue  
TurkoMongolic,PaleoMongolic,Turkic,Mongolic,8,TurkoMongolic PaleoMongolic Altaic PaleoAltaic MacroPaleoAltaic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue  
WestGermanic,Germanic,Frankish,English,8,WestGermanic Germanic NWEuropean WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue  
WestRoman,CentralRoman,French,Iberian,8,WestRoman CentralRoman Romance WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue  
English,WestGermanic,0,0,9,English WestGermanic Germanic NWEuropean WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue 
Frankish,WestGermanic,German,Dutch,9,Frankish WestGermanic Germanic NWEuropean WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue 
French,WestRoman,0,0,9,French WestRoman CentralRoman Romance WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue 
Iberian,WestRoman,Spanish,GaliPortuguese,9,Iberian WestRoman CentralRoman Romance WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue 
Mongolic,TurkoMongolic,0,0,9,Mongolic TurkoMongolic PaleoMongolic Altaic PaleoAltaic MacroPaleoAltaic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue 
Turkic,TurkoMongolic,0,0,9,Turkic TurkoMongolic PaleoMongolic Altaic PaleoAltaic MacroPaleoAltaic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue 
Dutch,Frankish,0,0,10,Dutch Frankish WestGermanic Germanic NWEuropean WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue
GaliPortuguese,Iberian,0,0,10,GaliPortuguese Iberian WestRoman CentralRoman Romance WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue
German,Frankish,0,0,10,German Frankish WestGermanic Germanic NWEuropean WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue
Spanish,Iberian,0,0,10,Spanish Iberian WestRoman CentralRoman Romance WestEuropean Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue
