Language,Parent,Child1,Child2,Level,Classes
Uninhabited,0,0,0,-3,Uninhabited Mothertongue           
Mothertongue,,FourDRD4,SevenDRD4,-2,Mothertongue            
FourDRD4,Mothertongue,African,Borean,-1,FourDRD4 Mothertongue           
SevenDRD4,Mothertongue,PaleoMelanesian,American,-1,SevenDRD4 Mothertongue           
African,FourDRD4,NiloCongo,Khoisan,0,African FourDRD4 Mothertongue          
American,SevenDRD4,NorthAmerican,SouthAmerican,0,American SevenDRD4 Mothertongue          
Borean,FourDRD4,Nostratic,EastBorean,0,Borean FourDRD4 Mothertongue          
PaleoMelanesian,SevenDRD4,Papuan,Aboriginial,0,PaleoMelanesian SevenDRD4 Mothertongue          
Aboriginial,PaleoMelanesian,0,0,1,Aboriginial PaleoMelanesian SevenDRD4 Mothertongue         
EastBorean,Borean,DeneCaucasian,Austric,1,EastBorean Borean FourDRD4 Mothertongue         
Khoisan,African,0,0,1,Khoisan African FourDRD4 Mothertongue         
NiloCongo,African,NiloSaharan,NigerCongo,1,NiloCongo African FourDRD4 Mothertongue         
NorthAmerican,American,MesoAmerican,Algic,1,NorthAmerican American SevenDRD4 Mothertongue         
Nostratic,Borean,Eurasiatic,Afroasiatic,1,Nostratic Borean FourDRD4 Mothertongue         
Papuan,PaleoMelanesian,0,0,1,Papuan PaleoMelanesian SevenDRD4 Mothertongue         
SouthAmerican,American,0,0,1,SouthAmerican American SevenDRD4 Mothertongue         
Afroasiatic,Nostratic,BerberSemitic,Cushitic,2,Afroasiatic Nostratic Borean FourDRD4 Mothertongue        
Algic,NorthAmerican,0,0,2,Algic NorthAmerican American SevenDRD4 Mothertongue        
Austric,EastBorean,AustroTai,AustroAsiatic,2,Austric EastBorean Borean FourDRD4 Mothertongue        
DeneCaucasian,EastBorean,MacroSinoCaucasian,NaDene,2,DeneCaucasian EastBorean Borean FourDRD4 Mothertongue        
Eurasiatic,Nostratic,IndoEuropean,AltaUralic,2,Eurasiatic Nostratic Borean FourDRD4 Mothertongue        
MesoAmerican,NorthAmerican,AztecMayan,Chibchan,2,MesoAmerican NorthAmerican American SevenDRD4 Mothertongue        
NigerCongo,NiloCongo,0,0,2,NigerCongo NiloCongo African FourDRD4 Mothertongue        
NiloSaharan,NiloCongo,0,0,2,NiloSaharan NiloCongo African FourDRD4 Mothertongue        
AltaUralic,Eurasiatic,MacroPaleoAltaic,Uralic,3,AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue       
AustroAsiatic,Austric,0,0,3,AustroAsiatic Austric EastBorean Borean FourDRD4 Mothertongue       
AustroTai,Austric,Austronesian,TaiKadai,3,AustroTai Austric EastBorean Borean FourDRD4 Mothertongue       
AztecMayan,MesoAmerican,UtoAztecan,MacroMayan,3,AztecMayan MesoAmerican NorthAmerican American SevenDRD4 Mothertongue       
BerberSemitic,Afroasiatic,Semitic,BerberChadic,3,BerberSemitic Afroasiatic Nostratic Borean FourDRD4 Mothertongue       
Chibchan,MesoAmerican,0,0,3,Chibchan MesoAmerican NorthAmerican American SevenDRD4 Mothertongue       
Cushitic,Afroasiatic,0,0,3,Cushitic Afroasiatic Nostratic Borean FourDRD4 Mothertongue       
IndoEuropean,Eurasiatic,Centum,Satem,3,IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue       
MacroSinoCaucasian,DeneCaucasian,SinoCaucasian,Basque,3,MacroSinoCaucasian DeneCaucasian EastBorean Borean FourDRD4 Mothertongue       
NaDene,DeneCaucasian,0,0,3,NaDene DeneCaucasian EastBorean Borean FourDRD4 Mothertongue       
Austronesian,AustroTai,0,0,4,Austronesian AustroTai Austric EastBorean Borean FourDRD4 Mothertongue      
Basque,MacroSinoCaucasian,0,0,4,Basque MacroSinoCaucasian DeneCaucasian EastBorean Borean FourDRD4 Mothertongue      
BerberChadic,BerberSemitic,Berber,Chadic,4,BerberChadic BerberSemitic Afroasiatic Nostratic Borean FourDRD4 Mothertongue      
Centum,IndoEuropean,Greek,WestEuropean,4,Centum IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue      
MacroMayan,AztecMayan,Mayan,OtoManguean,4,MacroMayan AztecMayan MesoAmerican NorthAmerican American SevenDRD4 Mothertongue      
MacroPaleoAltaic,AltaUralic,PaleoAltaic,Dravidian,4,MacroPaleoAltaic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue      
Satem,IndoEuropean,MacroIndoIranian,MacroSlavic,4,Satem IndoEuropean Eurasiatic Nostratic Borean FourDRD4 Mothertongue      
Semitic,BerberSemitic,0,0,4,Semitic BerberSemitic Afroasiatic Nostratic Borean FourDRD4 Mothertongue      
SinoCaucasian,MacroSinoCaucasian,SinoTibetan,Caucasian,4,SinoCaucasian MacroSinoCaucasian DeneCaucasian EastBorean Borean FourDRD4 Mothertongue      
TaiKadai,AustroTai,0,0,4,TaiKadai AustroTai Austric EastBorean Borean FourDRD4 Mothertongue      
Uralic,AltaUralic,0,0,4,Uralic AltaUralic Eurasiatic Nostratic Borean FourDRD4 Mothertongue      
UtoAztecan,AztecMayan,0,0,4,UtoAztecan AztecMayan MesoAmerican NorthAmerican American SevenDRD4 Mothertongue      
Berber,BerberChadic,0,0,5,Berber BerberChadic BerberSemitic Afroasiatic Nostratic Borean FourDRD4 Mothertongue     
